ticker,company_name,description
CHTR,"Charter Communications, Inc.","Charter Communications, Inc. - Cable & Satellite company in the Communication Services sector."
CMCSA,Comcast Corporation,Comcast Corporation - Cable & Satellite company in the Communication Services sector.
DIS,The Walt Disney Company,The Walt Disney Company - Movies & Entertainment company in the Communication Services sector.
EA,Electronic Arts Inc.,Electronic Arts Inc. - Interactive Home Entertainment company in the Communication Services sector.
FOX,Fox Corporation (Class B),Fox Corporation (Class B) - Broadcasting company in the Communication Services sector.
FOXA,Fox Corporation (Class A),Fox Corporation (Class A) - Broadcasting company in the Communication Services sector.
GOOG,Alphabet Inc. (Class C),Alphabet Inc. (Class C) - Interactive Media & Services company in the Communication Services sector.
GOOGL,Alphabet Inc. (Class A),Alphabet Inc. (Class A) - Interactive Media & Services company in the Communication Services sector.
IPG,The Interpublic Group of Companies,The Interpublic Group of Companies - Advertising company in the Communication Services sector.
LYV,"Live Nation Entertainment, Inc.","Live Nation Entertainment, Inc. - Movies & Entertainment company in the Communication Services sector."
META,"Meta Platforms, Inc.","Family of apps (Facebook, Instagram, WhatsApp, Threads), Reality Labs, and an open-weights AI strategy (Llama). Revenue is concentrated in performance advertising."
MTCH,"Match Group, Inc.","Match Group, Inc. - Interactive Media & Services company in the Communication Services sector."
NFLX,"Netflix, Inc.","Netflix, Inc. - Movies & Entertainment company in the Communication Services sector."
NWS,News Corporation (Class B),News Corporation (Class B) - Publishing company in the Communication Services sector.
NWSA,News Corporation (Class A),News Corporation (Class A) - Publishing company in the Communication Services sector.
OMC,Omnicom Group Inc.,Omnicom Group Inc. - Advertising company in the Communication Services sector.
PARA,Paramount Global,Paramount Global - Movies & Entertainment company in the Communication Services sector.
T,AT&T Inc.,AT&T Inc. - Integrated Telecommunication Services company in the Communication Services sector.
TMUS,"T-Mobile US, Inc.","T-Mobile US, Inc. - Wireless Telecommunication Services company in the Communication Services sector."
TTWO,Take-Two Interactive Software,Take-Two Interactive Software - Interactive Home Entertainment company in the Communication Services sector.
VZ,Verizon Communications Inc.,Verizon Communications Inc. - Integrated Telecommunication Services company in the Communication Services sector.
WBD,"Warner Bros. Discovery, Inc.","Warner Bros. Discovery, Inc. - Movies & Entertainment company in the Communication Services sector."
ABNB,"Airbnb, Inc.","Airbnb, Inc. - Hotels, Resorts & Cruise Lines company in the Consumer Discretionary sector."
AMZN,"Amazon.com, Inc.","Online retail, AWS cloud, advertising, and Prime media. Investing heavily in AI infrastructure (Trainium / Inferentia, Bedrock) and logistics automation."
APTV,Aptiv PLC,Aptiv PLC - Automotive Parts & Equipment company in the Consumer Discretionary sector.
AZO,"AutoZone, Inc.","AutoZone, Inc. - Automotive Retail company in the Consumer Discretionary sector."
BBY,"Best Buy Co., Inc.","Best Buy Co., Inc. - Computer & Electronics Retail company in the Consumer Discretionary sector."
BKNG,Booking Holdings Inc.,"Booking Holdings Inc. - Hotels, Resorts & Cruise Lines company in the Consumer Discretionary sector."
BWA,BorgWarner Inc.,BorgWarner Inc. - Automotive Parts & Equipment company in the Consumer Discretionary sector.
CCL,Carnival Corporation,"Carnival Corporation - Hotels, Resorts & Cruise Lines company in the Consumer Discretionary sector."
CMG,"Chipotle Mexican Grill, Inc.","Chipotle Mexican Grill, Inc. - Restaurants company in the Consumer Discretionary sector."
DECK,Deckers Outdoor Corporation,Deckers Outdoor Corporation - Footwear company in the Consumer Discretionary sector.
DHI,"D.R. Horton, Inc.","D.R. Horton, Inc. - Homebuilding company in the Consumer Discretionary sector."
DPZ,"Domino's Pizza, Inc.","Domino's Pizza, Inc. - Restaurants company in the Consumer Discretionary sector."
DRI,"Darden Restaurants, Inc.","Darden Restaurants, Inc. - Restaurants company in the Consumer Discretionary sector."
EBAY,eBay Inc.,eBay Inc. - Broadline Retail company in the Consumer Discretionary sector.
ETSY,"Etsy, Inc.","Etsy, Inc. - Broadline Retail company in the Consumer Discretionary sector."
EXPE,"Expedia Group, Inc.","Expedia Group, Inc. - Hotels, Resorts & Cruise Lines company in the Consumer Discretionary sector."
F,Ford Motor Company,Ford Motor Company - Automobile Manufacturers company in the Consumer Discretionary sector.
GM,General Motors Company,General Motors Company - Automobile Manufacturers company in the Consumer Discretionary sector.
GPC,Genuine Parts Company,Genuine Parts Company - Distributors company in the Consumer Discretionary sector.
HAS,"Hasbro, Inc.","Hasbro, Inc. - Leisure Products company in the Consumer Discretionary sector."
HD,"The Home Depot, Inc.","The Home Depot, Inc. - Home Improvement Retail company in the Consumer Discretionary sector."
HLT,Hilton Worldwide Holdings Inc.,"Hilton Worldwide Holdings Inc. - Hotels, Resorts & Cruise Lines company in the Consumer Discretionary sector."
KMX,"CarMax, Inc.","CarMax, Inc. - Automotive Retail company in the Consumer Discretionary sector."
LEN,Lennar Corporation,Lennar Corporation - Homebuilding company in the Consumer Discretionary sector.
LOW,"Lowe's Companies, Inc.","Lowe's Companies, Inc. - Home Improvement Retail company in the Consumer Discretionary sector."
LULU,lululemon athletica inc.,"lululemon athletica inc. - Apparel, Accessories & Luxury Goods company in the Consumer Discretionary sector."
LVS,Las Vegas Sands Corp.,Las Vegas Sands Corp. - Casinos & Gaming company in the Consumer Discretionary sector.
MAR,"Marriott International, Inc.","Marriott International, Inc. - Hotels, Resorts & Cruise Lines company in the Consumer Discretionary sector."
MAT,"Mattel, Inc.","Mattel, Inc. - Leisure Products company in the Consumer Discretionary sector."
MCD,McDonald's Corporation,McDonald's Corporation - Restaurants company in the Consumer Discretionary sector.
MGM,MGM Resorts International,MGM Resorts International - Casinos & Gaming company in the Consumer Discretionary sector.
NCLH,Norwegian Cruise Line Holdings,"Norwegian Cruise Line Holdings - Hotels, Resorts & Cruise Lines company in the Consumer Discretionary sector."
NKE,"NIKE, Inc.","NIKE, Inc. - Apparel, Accessories & Luxury Goods company in the Consumer Discretionary sector."
NVR,"NVR, Inc.","NVR, Inc. - Homebuilding company in the Consumer Discretionary sector."
ORLY,"O'Reilly Automotive, Inc.","O'Reilly Automotive, Inc. - Automotive Retail company in the Consumer Discretionary sector."
PHM,"PulteGroup, Inc.","PulteGroup, Inc. - Homebuilding company in the Consumer Discretionary sector."
RCL,Royal Caribbean Cruises Ltd.,"Royal Caribbean Cruises Ltd. - Hotels, Resorts & Cruise Lines company in the Consumer Discretionary sector."
RL,Ralph Lauren Corporation,"Ralph Lauren Corporation - Apparel, Accessories & Luxury Goods company in the Consumer Discretionary sector."
