ticker,company_name,sector,sub_industry
CHTR,"Charter Communications, Inc.",Communication Services,Cable & Satellite
CMCSA,Comcast Corporation,Communication Services,Cable & Satellite
DIS,The Walt Disney Company,Communication Services,Movies & Entertainment
EA,Electronic Arts Inc.,Communication Services,Interactive Home Entertainment
FOX,Fox Corporation (Class B),Communication Services,Broadcasting
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services
IPG,The Interpublic Group of Companies,Communication Services,Advertising
LYV,"Live Nation Entertainment, Inc.",Communication Services,Movies & Entertainment
META,"Meta Platforms, Inc.",Communication Services,Interactive Media & Services
MTCH,"Match Group, Inc.",Communication Services,Interactive Media & Services
NFLX,"Netflix, Inc.",Communication Services,Movies & Entertainment
NWS,News Corporation (Class B),Communication Services,Publishing
NWSA,News Corporation (Class A),Communication Services,Publishing
OMC,Omnicom Group Inc.,Communication Services,Advertising
PARA,Paramount Global,Communication Services,Movies & Entertainment
T,AT&T Inc.,Communication Services,Integrated Telecommunication Services
TMUS,"T-Mobile US, Inc.",Communication Services,Wireless Telecommunication Services
TTWO,Take-Two Interactive Software,Communication Services,Interactive Home Entertainment
VZ,Verizon Communications Inc.,Communication Services,Integrated Telecommunication Services
WBD,"Warner Bros. Discovery, Inc.",Communication Services,Movies & Entertainment
ABNB,"Airbnb, Inc.",Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
AMZN,"Amazon.com, Inc.",Consumer Discretionary,Broadline Retail
APTV,Aptiv PLC,Consumer Discretionary,Automotive Parts & Equipment
AZO,"AutoZone, Inc.",Consumer Discretionary,Automotive Retail
BBY,"Best Buy Co., Inc.",Consumer Discretionary,Computer & Electronics Retail
BKNG,Booking Holdings Inc.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
BWA,BorgWarner Inc.,Consumer Discretionary,Automotive Parts & Equipment
CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
CMG,"Chipotle Mexican Grill, Inc.",Consumer Discretionary,Restaurants
DECK,Deckers Outdoor Corporation,Consumer Discretionary,Footwear
DHI,"D.R. Horton, Inc.",Consumer Discretionary,Homebuilding
DPZ,"Domino's Pizza, Inc.",Consumer Discretionary,Restaurants
